economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
BIH,-6481.0,-14655.0,-21531.0,-22611.0,-23922.0,-24330.0,-23196.0,-21195.0,-20704.0,-21229.0,-20714.0,-15829.0,-14807.0,-14043.0,-14345.0,-14348.0,-13778.0,-11834.0,-9382.0,-7454.0,-7368.0,-9384.0,-9298.0,-9599.0,-10321.0,-11429.0,-12941.0,-14853.0,-17058.0,-19634.0,-22829.0,-26483.0,-436814.0,-178416.0,-157427.0,126914.0,173193.0,80133.0,24335.0,25495.0,8138.0,9055.0,-13312.0,-27396.0,-68008.0,-37086.0,-38622.0,-65335.0,-68140.0,-68182.0,-67228.0,-64875.0,-66378.0,-37002.0,-35683.0,-33948.0,-32173.0,-30650.0,-29147.0,-27841.0,-26840.0,-25865.0,-485.0,-485.0
BLR,-27382.0,-26780.0,-32996.0,-28653.0,-17837.0,-17979.0,-14544.0,-13409.0,-7511.0,-12833.0,-8643.0,-5818.0,-7966.0,-7357.0,-5157.0,-6302.0,-5350.0,-4925.0,-11143.0,395.0,16616.0,14998.0,3339.0,-2938.0,-3051.0,-784.0,-11499.0,-12462.0,-5424.0,5639.0,-26497.0,-5876.0,29477.0,19652.0,-12570.0,481.0,5205.0,-235.0,13192.0,2028.0,1812.0,-4469.0,-11945.0,-10795.0,-10424.0,-15451.0,-8303.0,-4013.0,-495.0,13610.0,10300.0,5686.0,10903.0,10550.0,14979.0,18088.0,8272.0,3337.0,8615.0,-33954.0,-33954.0,-33954.0,-8000.0,-3034.0
BLZ,-577.0,-347.0,-450.0,-170.0,-25.0,112.0,214.0,265.0,214.0,-148.0,-1297.0,-1693.0,-2029.0,-2227.0,-2399.0,-1624.0,-1731.0,-1843.0,-1960.0,-1844.0,-1350.0,-1354.0,-1410.0,-1414.0,-1381.0,-1402.0,-1475.0,-1527.0,-1579.0,-1654.0,-1763.0,-1699.0,-1634.0,-1521.0,-798.0,273.0,1365.0,2072.0,2153.0,1968.0,1675.0,1640.0,1739.0,1870.0,1980.0,2073.0,2321.0,2521.0,2627.0,2728.0,1639.0,1582.0,1524.0,1505.0,1456.0,1596.0,3313.0,1705.0,187.0,-606.0,64.0,-173.0,5936.0,595.0
BMU,-57.0,392.0,360.0,345.0,346.0,398.0,494.0,338.0,381.0,389.0,222.0,-291.0,-341.0,-359.0,-352.0,-335.0,-263.0,-218.0,-293.0,-300.0,-145.0,41.0,23.0,-45.0,0.0,-33.0,-50.0,76.0,36.0,24.0,34.0,-23.0,23.0,0.0,0.0,-51.0,-79.0,118.0,89.0,101.0,-50.0,-138.0,-114.0,-114.0,-182.0,-69.0,-171.0,27.0,32.0,-2.0,-201.0,-196.0,-237.0,-125.0,-99.0,-117.0,0.0,221.0,302.0,286.0,286.0,286.0,0.0,0.0
BOL,-3144.0,-3642.0,-4026.0,-4233.0,-4352.0,-4444.0,-4507.0,-4586.0,-4679.0,-4784.0,-4915.0,-5057.0,-5224.0,-5457.0,-5873.0,-6424.0,-7063.0,-7714.0,-8462.0,-9923.0,-11762.0,-13476.0,-14580.0,-15432.0,-16625.0,-17558.0,-18297.0,-18948.0,-19568.0,-20720.0,-21917.0,-23982.0,-25005.0,-26856.0,-27621.0,-28204.0,-28685.0,-28566.0,-28378.0,-28074.0,-26940.0,-24405.0,-22188.0,-19621.0,-17385.0,-15594.0,-14107.0,-13669.0,-13418.0,-13055.0,-12590.0,-12106.0,-11689.0,-11369.0,-10971.0,-10525.0,-10071.0,-9669.0,-9344.0,-8981.0,-4663.0,-4663.0,-3008.0,-3008.0
BRA,4066.0,75.0,-7171.0,-8136.0,-8146.0,-8824.0,-9317.0,-10033.0,-8856.0,-7763.0,-18779.0,-23421.0,-23584.0,-24071.0,-24093.0,-25499.0,-20612.0,-19478.0,-23416.0,-32503.0,-38918.0,-65971.0,-90766.0,-76322.0,-70035.0,-60879.0,-90973.0,-77800.0,-72825.0,-60023.0,-30555.0,-66600.0,14394.0,-69070.0,-68961.0,-69963.0,-71943.0,-72392.0,21666.0,-23497.0,-45800.0,-51600.0,-42008.0,-55350.0,-76661.0,-88868.0,-90634.0,-107481.0,-141056.0,-220207.0,-261539.0,-235860.0,-179707.0,-157228.0,-145732.0,-173611.0,-92989.0,-156296.0,-230334.0,-129216.0,-78437.0,-208581.0,-253639.0,-240059.0
BRB,-3315.0,-3323.0,-3327.0,-3303.0,-3277.0,-3251.0,-3201.0,-3436.0,-3693.0,-4236.0,-4852.0,-4396.0,-3665.0,-3508.0,-3222.0,-2939.0,-2836.0,-2778.0,-2725.0,-2691.0,-1687.0,-1821.0,-1794.0,-1733.0,-1447.0,-1487.0,-1377.0,-1262.0,-1301.0,-1400.0,-1474.0,-1108.0,-1076.0,-1080.0,-1096.0,-1141.0,-1164.0,-1122.0,-1068.0,-1215.0,-2628.0,199.0,308.0,248.0,273.0,330.0,317.0,308.0,526.0,296.0,-36.0,-54.0,-64.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,0.0,-28.0,-80.0,-80.0
BRN,982.0,1014.0,1088.0,1469.0,1595.0,1655.0,1697.0,1703.0,1677.0,1608.0,-1538.0,-476.0,1053.0,1007.0,1011.0,1047.0,1080.0,1157.0,791.0,899.0,995.0,1124.0,1475.0,1602.0,1722.0,1808.0,1897.0,994.0,962.0,1002.0,992.0,1087.0,969.0,1082.0,1206.0,1348.0,1464.0,1533.0,1566.0,1639.0,1660.0,1569.0,1499.0,1383.0,1261.0,1163.0,1030.0,2291.0,2409.0,2489.0,2479.0,1399.0,346.0,285.0,303.0,356.0,415.0,440.0,450.0,456.0,462.0,0.0,0.0,0.0
BTN,1481.0,1586.0,2096.0,2096.0,2196.0,2307.0,2407.0,2493.0,2593.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2493.0,2307.0,2096.0,1897.0,1897.0,1779.0,1694.0,1586.0,1481.0,1286.0,1180.0,-1000.0,-9522.0,-65900.0,-9800.0,-17997.0,-21501.0,-1998.0,-1994.0,486.0,3542.0,3940.0,3874.0,3996.0,3921.0,3642.0,848.0,-1283.0,-1553.0,-1538.0,-1305.0,-922.0,-464.0,20.0,309.0,452.0,450.0,1116.0,287.0,287.0,287.0,287.0,287.0,291.0,291.0
BWA,-4331.0,-4168.0,-4028.0,-4000.0,-4126.0,-14753.0,-15140.0,-15438.0,-15681.0,-15870.0,-16054.0,-3016.0,5937.0,10615.0,8854.0,11086.0,11914.0,13708.0,26015.0,15918.0,-10849.0,7610.0,1751.0,1980.0,2393.0,2683.0,2558.0,2624.0,-215.0,1495.0,2580.0,4311.0,8026.0,8441.0,9023.0,9464.0,9368.0,9597.0,9685.0,9762.0,9798.0,7991.0,4747.0,4488.0,4314.0,4283.0,4270.0,3926.0,4343.0,4960.0,5151.0,-1019.0,-6636.0,-7836.0,-8893.0,-9599.0,-10286.0,-10916.0,-11623.0,-11770.0,-11330.0,-4083.0,-7306.0,-6487.0
