STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,TERRITORIAL_TYPE,Territorial typology,REF_AREA,Reference area,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT341,Bludenz-Bregenzer Wald,POP,Population,_T,Total,_T,Total,PS,Persons,2019,,91889,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT341,Bludenz-Bregenzer Wald,POP,Population,_T,Total,_T,Total,PS,Persons,2020,,92362,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT341,Bludenz-Bregenzer Wald,POP,Population,_T,Total,_T,Total,PS,Persons,2021,,92656,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT341,Bludenz-Bregenzer Wald,POP,Population,_T,Total,_T,Total,PS,Persons,2022,,93293,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT333,Osttirol,POP,Population,_T,Total,_T,Total,PS,Persons,2018,,48833,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT333,Osttirol,POP,Population,_T,Total,_T,Total,PS,Persons,2019,,48753,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT333,Osttirol,POP,Population,_T,Total,_T,Total,PS,Persons,2020,,48738,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT226,Westliche Obersteiermark,POP,Population,_T,Total,_T,Total,PS,Persons,2018,,100390,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT226,Westliche Obersteiermark,POP,Population,_T,Total,_T,Total,PS,Persons,2019,,99663,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT226,Westliche Obersteiermark,POP,Population,_T,Total,_T,Total,PS,Persons,2020,,99241,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT226,Westliche Obersteiermark,POP,Population,_T,Total,_T,Total,PS,Persons,2021,,98805,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT226,Westliche Obersteiermark,POP,Population,_T,Total,_T,Total,PS,Persons,2022,,98497,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AU5,Western Australia,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2021,,1.09,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AU5,Western Australia,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2022,,1.1,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AU5,Western Australia,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2018,,1.03,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AU5,Western Australia,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2019,,1.05,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AU5,Western Australia,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2020,,1.07,,AUS,Australia,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT211,Klagenfurt-Villach,POP,Population,_T,Total,_T,Total,PS,Persons,2018,,286579,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT211,Klagenfurt-Villach,POP,Population,_T,Total,_T,Total,PS,Persons,2019,,287528,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT211,Klagenfurt-Villach,POP,Population,_T,Total,_T,Total,PS,Persons,2020,,288814,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT211,Klagenfurt-Villach,POP,Population,_T,Total,_T,Total,PS,Persons,2021,,290424,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT211,Klagenfurt-Villach,POP,Population,_T,Total,_T,Total,PS,Persons,2022,,292945,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT225,West- und Südsteiermark,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2018,,86.77,,AUT,Austria,A,Normal value,0,Units,2,Two
